ID,RecipeID,Weight,HopID,StepID,HopTypeID
934,149,50,3,4,1
935,149,37.5,17,4,1
936,149,12.5,17,3,1
937,149,12.5,17,2,1
938,149,62.5,20,4,1
939,149,16.5,114,3,1
941,149,87.5,59,4,1
942,149,12.5,64,4,1
943,150,125,3,4,1
944,150,25,3,3,1
947,150,125,44,4,1
948,150,12.5,44,3,1
949,150,50,44,1,1
950,151,57.5,3,4,1
951,151,19,3,3,1
952,151,19,3,2,1
954,151,57.5,17,4,1
955,151,19,36,1,1
957,151,28.5,44,3,1
958,151,19,44,2,1
959,151,9.5,44,1,1
961,151,57.5,59,4,1
962,152,25,13,1,1
963,152,50,19,1,1
966,152,25,33,3,1
967,152,25,33,2,1
968,153,12.5,91,1,1
969,153,62.5,17,4,1
970,153,12.5,17,3,1
971,153,12.5,18,1,1
972,153,62.5,20,4,1
973,153,12.5,20,3,1
974,153,25,22,4,1
975,153,12.5,22,2,1
976,153,37.5,112,4,1
977,153,12.5,112,2,1
979,153,62.5,59,4,1
980,153,12.5,59,3,1
982,154,12.5,44,3,1
983,154,12.5,44,2,1
984,154,5,44,1,1
985,155,25,3,3,1
990,155,25,59,3,1
991,156,200,17,4,1
992,156,25,17,2,1
993,156,75,17,1,1
994,156,150,20,4,1
995,156,25,20,3,1
996,156,200,59,4,1
997,156,25,59,3,1
998,156,25,59,2,1
999,157,12.5,36,2,1
1000,157,75,74,4,1
1001,157,37.5,52,4,1
1002,157,37.5,52,3,1
1003,157,12.5,57,1,1
1004,158,19,82,2,1
1005,158,11.5,36,2,1
1006,158,7.5,36,1,1
1008,160,77,17,3,1
1009,160,19,17,2,1
1010,160,38.5,17,1,1
1011,161,100,13,4,1
1012,161,25,13,3,1
1013,161,12.5,13,2,1
1014,161,87.5,17,4,1
1015,161,25,17,1,1
1016,161,112.5,20,4,1
1017,161,12.5,20,3,1
1018,161,12.5,20,2,1
1019,161,87.5,59,4,1
1020,161,25,59,3,1
1021,164,5,21,1,1
1022,164,12.5,87,1,1
1023,164,12.5,57,3,1
1026,166,20,21,1,1
1028,166,50,66,3,1
1029,167,137.5,3,4,1
1030,167,18.5,3,3,1
1031,167,6,3,2,1
1032,167,12.5,3,1,1
1033,167,87.5,13,4,1
1034,167,12.5,13,3,1
1035,167,12.5,13,2,1
1036,167,12.5,13,1,1
1037,167,100,20,4,1
1038,167,12.5,20,3,1
1039,167,6,20,2,1
1040,167,6,20,1,1
1043,171,31.25,31,3,1
1045,171,62.5,39,1,1
1046,171,31.25,66,3,1
1050,172,12.5,82,1,1
1052,173,100,3,4,1
1053,173,37.5,3,3,1
1054,173,100,17,4,1
1055,173,37.5,17,3,1
1056,173,100,20,4,1
1057,173,37.5,20,3,1
1058,173,10,21,1,1
1059,175,17.5,3,3,1
1060,175,17.5,3,2,1
1061,175,17.5,3,1,1
1062,175,17.5,20,3,1
1063,175,17.5,20,2,1
1064,175,17.5,20,1,1
1066,175,22.5,45,3,1
1067,175,17.5,59,3,1
1068,175,17.5,59,2,1
